[2024-11-12 13:23:20.881]	 
[2024-11-12 13:23:22.042]	   "tmux-power" update success
[2024-11-12 13:23:22.043]	   "tmux-cpu" update success
[2024-11-12 13:23:22.047]	     | Already up to date.
[2024-11-12 13:23:22.047]	     | Already up to date.
[2024-11-12 13:23:26.385]	   "tmux-copycat" update success
[2024-11-12 13:23:26.391]	     | Already up to date.
[2024-11-12 13:23:26.426]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-12 13:23:26.516]	 Done.

[2024-11-12 14:44:27.199]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-12 14:44:27.214]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-12 14:44:27.266]	 Already installed "tmux-copycat"
[2024-11-12 14:44:27.267]	 Already installed "tmux-cpu"
[2024-11-12 14:44:27.267]	 Already installed "tmux-power"
[2024-11-12 14:44:27.282]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-12 14:44:27.309]	 Updating all plugins!
[2024-11-12 14:44:27.309]	 
[2024-11-12 14:44:28.417]	   "tmux-copycat" update success
[2024-11-12 14:44:28.422]	     | Already up to date.
[2024-11-12 14:44:28.430]	   "tmux-power" update success
[2024-11-12 14:44:28.435]	   "tmux-cpu" update success
[2024-11-12 14:44:28.436]	     | Already up to date.
[2024-11-12 14:44:28.440]	     | Already up to date.
[2024-11-12 14:44:28.461]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-12 14:44:28.557]	 Done.

[2024-11-13 15:03:21.384]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-13 15:03:21.413]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-13 15:03:21.481]	 Already installed "tmux-copycat"
[2024-11-13 15:03:21.481]	 Already installed "tmux-power"
[2024-11-13 15:03:21.481]	 Already installed "tmux-cpu"
[2024-11-13 15:03:21.521]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-13 15:03:21.556]	 Updating all plugins!
[2024-11-13 15:03:21.556]	 
[2024-11-13 15:03:22.991]	   "tmux-power" update success
[2024-11-13 15:03:22.995]	     | Already up to date.
[2024-11-13 15:03:22.996]	   "tmux-copycat" update success
[2024-11-13 15:03:23.002]	     | Already up to date.
[2024-11-13 15:03:27.866]	   "tmux-cpu" update success
[2024-11-13 15:03:27.871]	     | Already up to date.
[2024-11-13 15:03:27.893]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-13 15:03:27.978]	 Done.

[2024-11-13 19:11:43.382]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-13 19:11:43.413]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-13 19:11:43.616]	 Already installed "tmux-power"
[2024-11-13 19:11:43.620]	 Already installed "tmux-copycat"
[2024-11-13 19:11:43.620]	 Already installed "tmux-cpu"
[2024-11-13 19:11:43.654]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-13 19:11:43.789]	 Updating all plugins!
[2024-11-13 19:11:43.789]	 
[2024-11-13 19:11:45.091]	   "tmux-copycat" update success
[2024-11-13 19:11:45.095]	     | Already up to date.
[2024-11-13 19:11:45.145]	   "tmux-power" update success
[2024-11-13 19:11:45.149]	     | Already up to date.
[2024-11-13 19:11:51.251]	   "tmux-cpu" update success
[2024-11-13 19:11:51.259]	     | Already up to date.
[2024-11-13 19:11:51.308]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-13 19:11:51.525]	 Done.

[2024-11-14 00:03:30.175]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-14 00:03:30.195]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-14 00:03:30.249]	 Already installed "tmux-power"
